item_id,dept_id,cat_id,store_id,state_id,wm_yr_wk,snap_CA,snap_TX,snap_WI,sell_price,dayofweek,weekofyear,month,year,date,sales
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,1,44,11,2016,2016-11-01,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,1,0,0,8.34,2,44,11,2016,2016-11-02,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,3,44,11,2016,2016-11-03,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,4,44,11,2016,2016-11-04,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,5,44,11,2016,2016-11-05,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,6,44,11,2016,2016-11-06,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,1,0,0,8.34,0,45,11,2016,2016-11-07,1
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,1,45,11,2016,2016-11-08,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,1,0,0,8.34,2,45,11,2016,2016-11-09,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,1,0,0,8.34,3,45,11,2016,2016-11-10,1
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,4,45,11,2016,2016-11-11,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,5,45,11,2016,2016-11-12,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,6,45,11,2016,2016-11-13,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,0,46,11,2016,2016-11-14,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11668,0,0,0,8.34,1,46,11,2016,2016-11-15,1
