item_id,dept_id,cat_id,store_id,state_id,wm_yr_wk,snap_CA,snap_TX,snap_WI,sell_price,dayofweek,weekofyear,month,year,date,sales
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,4,26,7,2016,2016-07-01,1
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,5,26,7,2016,2016-07-02,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,6,26,7,2016,2016-07-03,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,0,27,7,2016,2016-07-04,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,1,27,7,2016,2016-07-05,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,2,27,7,2016,2016-07-06,1
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,3,27,7,2016,2016-07-07,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,4,27,7,2016,2016-07-08,1
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,5,27,7,2016,2016-07-09,1
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,6,27,7,2016,2016-07-10,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,0,28,7,2016,2016-07-11,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,1,28,7,2016,2016-07-12,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,2,28,7,2016,2016-07-13,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,3,28,7,2016,2016-07-14,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,4,28,7,2016,2016-07-15,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,5,28,7,2016,2016-07-16,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,6,28,7,2016,2016-07-17,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,0,29,7,2016,2016-07-18,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,1,29,7,2016,2016-07-19,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,2,29,7,2016,2016-07-20,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,3,29,7,2016,2016-07-21,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,4,29,7,2016,2016-07-22,1
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,5,29,7,2016,2016-07-23,1
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,6,29,7,2016,2016-07-24,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,0,30,7,2016,2016-07-25,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,1,30,7,2016,2016-07-26,2
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,2,30,7,2016,2016-07-27,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,3,30,7,2016,2016-07-28,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,8.23,4,30,7,2016,2016-07-29,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,5,30,7,2016,2016-07-30,0
HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,8.23,6,30,7,2016,2016-07-31,1
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,4,26,7,2016,2016-07-01,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,5,26,7,2016,2016-07-02,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,6,26,7,2016,2016-07-03,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,0,27,7,2016,2016-07-04,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,1,27,7,2016,2016-07-05,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,2,27,7,2016,2016-07-06,1
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,3,27,7,2016,2016-07-07,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,4,27,7,2016,2016-07-08,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,5,27,7,2016,2016-07-09,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,6,27,7,2016,2016-07-10,1
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,0,28,7,2016,2016-07-11,1
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,1,28,7,2016,2016-07-12,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,2,28,7,2016,2016-07-13,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,3,28,7,2016,2016-07-14,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,4,28,7,2016,2016-07-15,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,5,28,7,2016,2016-07-16,2
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,6,28,7,2016,2016-07-17,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,0,29,7,2016,2016-07-18,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,1,29,7,2016,2016-07-19,1
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,2,29,7,2016,2016-07-20,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,3,29,7,2016,2016-07-21,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,4,29,7,2016,2016-07-22,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,5,29,7,2016,2016-07-23,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,6,29,7,2016,2016-07-24,1
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,0,30,7,2016,2016-07-25,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,1,30,7,2016,2016-07-26,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,2,30,7,2016,2016-07-27,1
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,3,30,7,2016,2016-07-28,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,1,0,0,4.18,4,30,7,2016,2016-07-29,1
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,5,30,7,2016,2016-07-30,0
HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,11634,0,0,0,4.18,6,30,7,2016,2016-07-31,0
